网页地址,项目位置,面积(公顷),供地方式,行业分类,成交价格(万元),下限,上限,约定交地时间,经度,纬度
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ff2144cc-7c1e-4266-a54e-d697866abae7, 北斗路以东、纬十六路以北、文曲路以南,26.49534,划拨,中国共产党机关,5524.277,0,1,2018年4月15日,103.760273,36.532444
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=2144e7db-4fe5-4ada-92fe-2338bddcf169, 城关区白道坪地区T497号规划路以东，T484号规划路以北，T496号规划路以南,0.96742,挂牌出让,零售业,1080,,1.2,2020年6月14日,103.897347,36.073455
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a51d1fb0-07c2-4122-b5dc-4c24b621625e, 城关区青白石片区，永兴路以南、朱雀路以北、青龙路以东、五福路以西,10.75133,挂牌出让,房地产业,33540,1,2.5,2019年9月24日,103.905528,36.071148
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=25cf469f-626a-4718-b9ce-3c76008511be, 黑石川乡和平村，东、西、南、北均以实际控制线为界,2,挂牌出让,农副食品加工业,78,0.7,1.1,2015年5月11日,103.943087,36.46988
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f3129485-e2c1-4026-8cc3-ba95b72c353b, 黑石川乡和平村，南、北均以规划道路为界，东、西均以实际控制线为界,7.26165,挂牌出让,建筑装饰业,283.205,,1,2015年5月11日,103.832858,36.035495
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=67785c80-808b-4765-b055-f8cfe4c97a6d, 黑石镇和平村，东、西、南、北均以实际控制线为界,0.53167,挂牌出让,工程准备,85.95,0,1,2021年4月22日,103.943087,36.46988
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=7b813104-e53d-4aa9-8fc7-e27877437a3a, 九合镇九合村，东、西、南、北均以实际控制线为界。,12.71632,挂牌出让,仓储业,1128.2811,,2,2015年6月30日,103.590974,36.217434
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=1d51c960-f798-42e1-931b-def6771408ef, 兰州高新区定连园区经十五路一支路以西,5.56259,挂牌出让,房地产业,11220,1,1.5,2020年3月31日,103.666141,36.103401
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ef1b1e1e-4731-42b8-9d80-e946702999e6, 七里河地区B128#规划路以东、建兰商业广场以南,0.23532,挂牌出让,房地产业,3550,,5.9,2013年5月27日,103.772884,36.070391
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=cbcfe3e2-47e2-4234-98e0-6c1f81064775, 什川镇大奔头山大深沟，东、西、南、北均以实际控制线为界,2.8035,挂牌出让,房地产业,143.5696,1,1.2,2013年2月28日,104.402084,35.917087
